time_slot,Bus-01_kw,Bus-02_kw,Bus-03_kw,Bus-04_kw,Staff-01_kw,Staff-02_kw,ev_total_kw,building_load_kw,contract_limit_kw,site_total_kw,tou_price_per_kwh,Bus-01_soc,Bus-02_soc,Bus-03_soc,Bus-04_soc,Staff-01_soc,Staff-02_soc
22,12.974166338195882,11.893648990965799,9.748215144679797,0.0,0.0,0.0,34.61603047384148,140.0,400.0,174.61603047384148,0.06,0.7348229822248336,0.7611254139393181,0.34904570744667024,0.2,0.5,0.35
23,12.974166338195882,11.893648990965799,9.748215144679797,0.0,0.0,0.0,34.61603047384148,140.0,400.0,174.61603047384148,0.06,0.7445536069784805,0.7700456506825424,0.3560522370819088,0.2,0.5,0.35
24,9.813051027596172,9.083131015627668,7.809051998943377,7.9107964316700325,0.0,0.0,34.61603047383725,140.0,400.0,174.61603047383724,0.06,0.7519133952491777,0.7768579989442632,0.36166499320614937,0.20635688998973487,0.5,0.35
25,9.813051027596172,9.083131015627668,7.809051998943377,7.9107964316700325,0.0,0.0,34.61603047383725,140.0,400.0,174.61603047383724,0.06,0.7592731835198747,0.7836703472059839,0.3672777493303899,0.21271377997946972,0.5,0.35
26,9.813051027596172,9.083131015627668,7.809051998943377,7.9107964316700325,0.0,0.0,34.61603047383725,140.0,400.0,174.61603047383724,0.06,0.7666329717905718,0.7904826954677047,0.3728905054546305,0.21907066996920455,0.5,0.35
27,9.813051027596172,9.083131015627668,7.809051998943377,7.9107964316700325,0.0,0.0,34.61603047383725,140.0,400.0,174.61603047383724,0.06,0.7739927600612689,0.7972950437294254,0.37850326157887104,0.2254275599589394,0.5,0.35
28,9.049288182047857,8.376036724892657,7.264633980532959,7.3898832219154595,2.536188364423546,0.0,34.61603047381248,300.0,400.0,334.6160304738125,0.1,0.7807797261978049,0.803577071273095,0.3837247172523791,0.23136585897655004,0.5074394858689757,0.35
29,9.049288182047857,8.376036724892657,7.264633980532959,7.3898832219154595,2.536188364423546,0.0,34.61603047381248,300.0,400.0,334.6160304738125,0.1,0.7875666923343407,0.8098590988167644,0.3889461729258872,0.23730415799416069,0.5148789717379515,0.35
30,9.049288182047857,8.376036724892657,7.264633980532959,7.3898832219154595,2.536188364423546,0.0,34.61603047381248,300.0,400.0,334.6160304738125,0.1,0.7943536584708766,0.8161411263604339,0.39416762859939525,0.24324245701177133,0.5223184576069272,0.35
31,9.049288182047857,8.376036724892657,7.264633980532959,7.3898832219154595,2.536188364423546,0.0,34.61603047381248,300.0,400.0,334.6160304738125,0.1,0.8011406246074125,0.8224231539041034,0.3993890842729033,0.24918075602938194,0.529757943475903,0.35
32,8.143229232068405,7.5573572696031714,6.716985868033707,6.977340487264001,2.459487329548305,2.761630287290755,34.616030473808344,210.0,400.0,244.61603047380834,0.1,0.8072480465314638,0.8280911718563058,0.4042169178655525,0.25478754749236193,0.536972439642578,0.35810078217605285
33,8.143229232129494,7.557357269535755,6.716985868227693,6.977340487090112,2.459487329540257,2.761630287285039,34.61603047380835,210.0,400.0,244.61603047380834,0.1,0.813355468455561,0.8337591898084575,0.4090447514583412,0.26039433895520225,0.5441869358092294,0.36620156435208895
34,8.143229232129494,7.557357269535755,6.716985868227693,6.977340487090112,2.459487329540257,2.761630287285039,34.61603047380835,210.0,400.0,244.61603047380834,0.1,0.8194628903796581,0.8394272077606093,0.41387258505112984,0.2660011304180425,0.5514014319758808,0.3743023465281251
35,8.143229232129494,7.557357269535755,6.716985868227693,6.977340487090112,2.459487329540257,2.761630287285039,34.61603047380835,210.0,400.0,244.61603047380834,0.1,0.8255703123037552,0.8450952257127612,0.4187004186439185,0.2716079218808828,0.5586159281425322,0.3824031287041612
36,8.143229232129494,7.557357269535755,6.716985868227693,6.977340487090112,2.459487329540257,2.761630287285039,34.61603047380835,210.0,400.0,244.61603047380834,0.1,0.8316777342278523,0.8507632436649131,0.42352825223670715,0.27721471334372305,0.5658304243091836,0.3905039108801973
37,8.143229232129494,7.557357269535755,6.716985868227693,6.977340487090112,2.459487329540257,2.761630287285039,34.61603047380835,210.0,400.0,244.61603047380834,0.1,0.8377851561519495,0.8564312616170648,0.4283560858294958,0.2828215048065633,0.5730449204758351,0.3986046930562334
38,8.143229232129494,7.557357269535755,6.716985868227693,6.977340487090112,2.459487329540257,2.761630287285039,34.61603047380835,210.0,400.0,244.61603047380834,0.1,0.8438925780760467,0.8620992795692166,0.43318391942228446,0.2884282962694036,0.5802594166424865,0.4067054752322695
39,8.143229232129494,7.557357269535755,6.716985868227693,6.977340487090112,2.459487329540257,2.761630287285039,34.61603047380835,210.0,400.0,244.61603047380834,0.1,0.8500000000001438,0.8677672975213685,0.4380117530150731,0.29403508773224385,0.5874739128091379,0.4148062574083057
